pr_id,title,body,author,created_at,merged,merged_at,state,additions,deletions,changed_files,commits_count,labels,reviewers,review_comments,reviews,commit_messages,diff,has_ai_reviewer,has_ai_code
123990,Remove SymbolicTileAnalysis-based tiling from CPU tiled fusion emitter.,"Remove SymbolicTileAnalysis-based tiling from CPU tiled fusion emitter.
",copybara-service[bot],2026-07-25T23:34:07+00:00,True,2026-07-26T00:36:52+00:00,closed,5,89,2,1,[],[],[],[],['Remove SymbolicTileAnalysis-based tiling from CPU tiled fusion emitter.\n\nPiperOrigin-RevId: 953991315'],,False,False
123986,Automated Code Change,"Automated Code Change
",copybara-service[bot],2026-07-25T21:31:08+00:00,True,2026-07-26T04:46:42+00:00,closed,1,1,1,1,[],[],[],[],['Automated Code Change\n\nPiperOrigin-RevId: 954052053'],,False,False
123985,Automated Code Change,"Automated Code Change
",copybara-service[bot],2026-07-25T21:11:17+00:00,True,2026-07-26T04:08:41+00:00,closed,1,1,1,1,[],[],[],[],['Automated Code Change\n\nPiperOrigin-RevId: 954042627'],,False,False
123984,Automated Code Change,"Automated Code Change
",copybara-service[bot],2026-07-25T20:49:13+00:00,True,2026-07-26T04:38:15+00:00,closed,2,2,1,1,[],[],[],[],['Automated Code Change\n\nPiperOrigin-RevId: 954050541'],,False,False
123983,Automated Code Change,"Automated Code Change
",copybara-service[bot],2026-07-25T20:40:33+00:00,True,2026-07-26T05:00:15+00:00,closed,14,14,1,1,[],[],[],[],['Automated Code Change\n\nPiperOrigin-RevId: 954057054'],,False,False
123982,Automated Code Change,"Automated Code Change
",copybara-service[bot],2026-07-25T20:35:35+00:00,True,2026-07-26T04:17:24+00:00,closed,1,1,1,1,[],[],[],[],['Automated Code Change\n\nPiperOrigin-RevId: 954044635'],,False,False
123972,"[IFRT IR] Add `IfrtString` element type, which represents an IFRT string dtype","[IFRT IR] Add `IfrtString` element type, which represents an IFRT string dtype

Introduces `IfrtStringType` (`!ifrt.string`) in the IFRT dialect as a first-class
element type for string arrays, alongside `VifrtStringV1` (`!vifrt.string_v1`)
in the versioned VIFRT dialect starting at IFRT IR version 0.5.0.

Updates type converters, legalization passes, and versioning rules to support
string arrays as ranked tensors with full array properties.
",copybara-service[bot],2026-07-25T02:54:16+00:00,True,2026-07-25T22:55:56+00:00,closed,74,1,9,1,[],[],[],[],"['[IFRT IR] Add `IfrtString` element type, which represents an IFRT string dtype\n\nIntroduces `IfrtStringType` (`!ifrt.string`) in the IFRT dialect as a first-class\nelement type for string arrays, alongside `VifrtStringV1` (`!vifrt.string_v1`)\nin the versioned VIFRT dialect starting at IFRT IR version 0.5.0.\n\nUpdates type converters, legalization passes, and versioning rules to support\nstring arrays as ranked tensors with full array properties.\n\nPiperOrigin-RevId: 953971250']",,False,False
123958,Removing obsolete amdgpu_fix_fp_to_sint_sat_i16.patch,"Removing obsolete amdgpu_fix_fp_to_sint_sat_i16.patch

LLVM at 0220c07a94012b9dce9250addac6a8ee1f674b21 commit already has it integrated.
",copybara-service[bot],2026-07-25T02:24:13+00:00,True,2026-07-25T03:47:34+00:00,closed,0,13,2,1,[],[],[],[],['Removing obsolete amdgpu_fix_fp_to_sint_sat_i16.patch\n\nLLVM at 0220c07a94012b9dce9250addac6a8ee1f674b21 commit already has it integrated.\n\nPiperOrigin-RevId: 953695220'],,False,False
123954,Make buffer Shapes hash based on their value.,"Make buffer Shapes hash based on their value.

Before this CL, the pointer itself was being hashed, which can cause otherwise-identical Shapes to hash differently.
",copybara-service[bot],2026-07-24T23:37:33+00:00,True,2026-07-25T05:10:35+00:00,closed,5,1,1,1,[],[],[],[],"['Make buffer Shapes hash based on their value.\n\nBefore this CL, the pointer itself was being hashed, which can cause otherwise-identical Shapes to hash differently.\n\nPiperOrigin-RevId: 953718371']",,False,False
123951,[XLA:CPU] Use xla.apply_indexing for tile ID calculation in CPU tiled lowering.,"[XLA:CPU] Use xla.apply_indexing for tile ID calculation in CPU tiled lowering.
",copybara-service[bot],2026-07-24T22:39:37+00:00,True,2026-07-26T00:45:07+00:00,closed,48,61,3,1,[],[],[],[],['[XLA:CPU] Use xla.apply_indexing for tile ID calculation in CPU tiled lowering.\n\nPiperOrigin-RevId: 953993318'],,False,False
123949,Support constructing AsyncValueRef from std::shared_ptr.,"Support constructing AsyncValueRef from std::shared_ptr.

Add an overload `MakeAvailableAsyncValueRef(std::shared_ptr<T> value)` that constructs an available `AsyncValueRef<T>` backed by a `std::shared_ptr<T>`.

When working with APIs that manage object lifetimes via `std::shared_ptr<T>`, wrapping `std::shared_ptr<T>` in `AsyncValueRef<std::shared_ptr<T>>` prevents polymorphic conversion (e.g. `AsyncValueRef<std::shared_ptr<Derived>>` does not convert to `AsyncValueRef<std::shared_ptr<Base>>`). This new API returns an `AsyncValueRef<T>` directly, allowing standard polymorphic conversion (`AsyncValueRef<Derived>` to `AsyncValueRef<Base>`) while sharing ownership with the underlying `std::shared_ptr`.

Under the hood, this introduces `AsyncValue::Kind::kSharedPtr` and `tsl::internal::SharedPtrAsyncValue` to hold `void* ptr_` and `std::shared_ptr<const void> owner_`, providing a single compact 40-byte allocation with zero size overhead for existing `AsyncValue` types.
",copybara-service[bot],2026-07-24T22:13:49+00:00,True,2026-07-25T05:00:49+00:00,closed,136,9,3,1,[],[],[],[],"['Support constructing AsyncValueRef from std::shared_ptr.\n\nAdd an overload `MakeAvailableAsyncValueRef(std::shared_ptr<T> value)` that constructs an available `AsyncValueRef<T>` backed by a `std::shared_ptr<T>`.\n\nWhen working with APIs that manage object lifetimes via `std::shared_ptr<T>`, wrapping `std::shared_ptr<T>` in `AsyncValueRef<std::shared_ptr<T>>` prevents polymorphic conversion (e.g. `AsyncValueRef<std::shared_ptr<Derived>>` does not convert to `AsyncValueRef<std::shared_ptr<Base>>`). This new API returns an `AsyncValueRef<T>` directly, allowing standard polymorphic conversion (`AsyncValueRef<Derived>` to `AsyncValueRef<Base>`) while sharing ownership with the underlying `std::shared_ptr`.\n\nUnder the hood, this introduces `AsyncValue::Kind::kSharedPtr` and `tsl::internal::SharedPtrAsyncValue` to hold `void* ptr_` and `std::shared_ptr<const void> owner_`, providing a single compact 40-byte allocation with zero size overhead for existing `AsyncValue` types.\n\nPiperOrigin-RevId: 953717696']",,False,False
